id,deed,likeableness
bwjdknb,6.21100312302528,7.84140296757968
xleseom,0.202133064000826,1.34801066191876
vxtdjjc,2.68455197681269,4.99316711493813
geygvli,1.00929856183406,3.37859575112515
vcocclx,6.73473783593572,8.3620139215393
kcpfoxl,0.854390297861794,3.64937180595389
nqfpiqc,2.66814702334658,4.68411511579757
xhnkbga,7.38300716329018,7.63741049686596
jawjqsu,0,3.03773317469707
dptnqtd,1.6161641386791,4.97155142791845
conkpin,4.95958578500037,5.75292931927513
oupxiko,6.69846187644608,6.52804167887168
adkhwdw,5.81237617465815,7.09074965363797
faptlot,1.66078678140575,4.27447878799355
giwksqk,3.70026605039261,5.6106049709035
gluoahd,0,1.96944793231217
vautuew,0.82249257545098,4.72448125398828
bskkvrc,3.71207113878626,4.83655968697687
lvqvskm,0.446452967073958,2.96260141171206
fvnxcax,1.02648345957102,3.61058418252159
jkpewxl,2.80097936993243,5.92454448328963
haqgcsc,2.01878522284135,5.08830339843892
cjxlneb,1.8425168659775,4.58453640424903
ctoxeqt,3.70005374105746,7.15357944996949
fwmyprk,1.55666546649914,2.94806005319865
gqergpi,0.35309581278564,1.75629559497005
whbljdm,1.58991404827471,5.10326579305152
blaveyo,0.109242032085627,5.51081857859094
piumqje,1.28190642537223,4.18278713380487
hgghvgy,6.02189657033307,5.94253044600208
yfheafm,9.02644032652693,8.99720423744597
vlnucwo,0,0.258983911128648
eqjlhlj,5.5909388622289,5.62186835508131
lsnetfq,5.20580327297603,6.07315434970748
riimmji,1.07078561635003,2.99206241590705
mhxxbvy,1.39493038410273,3.46418033317485
nwvagne,6.23644352858128,7.64027125604188
ktqwiqd,5.94396525555688,6.0253640122732
ytwqyhg,1.68969653957895,5.64944602265803
oqahvcb,0.0200367803062466,0.313600977327588
hgsfuhk,1.35502795029874,4.57899779864244
bkltqsg,4.98442444370125,7.49561012130042
uqoxnye,2.49642415086016,4.10126309744203
mojwtce,3.70822007745923,5.88247918931726
swjapry,0.669781764919313,2.01746205658244
oryksua,3.26859226496506,6.89691236458102
sajticb,0.511244132539523,3.71371821369529
sxtavif,0.497561221643888,1.44460622706759
kyvpvcs,1.99023396594918,2.84211704935574
umyaduj,2.93746254600155,4.70673605523797
xcuvowq,5.19288585006365,5.60177628350809
ufawunt,1.01552160771158,3.21873748697136
rrxmswa,0,1.78805564636327
ixvgsni,0.0270445484683517,0.882847301290232
qkgfwse,1.60743780931872,4.08889956323952
lcdejmq,6.93375783422801,9.59280116876243
jneuptf,4.32697359888422,5.50596953884112
vtwpbem,5.10495004885956,7.12082980366924
lkiigkw,3.12523899074073,4.24670365683636
axybbgj,0.477162811220967,4.06975580720654
vqdiocj,1.41827714107484,4.25154720918158
myicvov,1.44084653777801,3.52637832118333
xxijcit,5.59903810062982,7.24630350714784
fpaskxq,0.58513256841778,3.77269535749966
vidiweb,5.99030345412864,8.06034265089882
vrcmdtk,1.81582021715382,4.844853747744
coyitlo,7.99819033116422,6.89484379899968
nhnmrjd,3.12054261297924,5.67658240320453
tmmdiyk,3.01055757115842,4.87411390598269
ieboyht,3.15082876960402,4.22698209146052
kbbkitp,1.6419031838605,3.8460258994977
bjdujbv,3.76339275160132,6.21351255401691
lphdwbe,2.55743175291262,6.63626901252709
fifrkyf,0.650499222125938,1.99870860166221
jfojrua,0.589842226131355,2.71234432213076
mgmqcfy,3.07474822709609,6.08038180215283
gewamta,2.81228332762404,5.87810221847384
wdtugqp,3.26264307246897,4.19314727915523
yvtygnv,1.34555921620333,3.28612889128673
npsydkt,3.7943481164928,5.29804616772794
ctogodo,2.62604433811098,5.30383096794682
wddoord,3.11062692603722,6.34919117529689
rmrrlby,0.85543088952904,5.91710372843889
tvujybg,4.16856594419484,6.92619394671241
rfgmefe,2.87002639612696,5.99549098162121
atovgvt,1.54356621678149,2.96730536564799
pmxnsgx,0.98711216583224,3.50826114462815
hjhblna,3.84916030970488,7.69775850422766
awcxklf,3.5194038809465,6.83963818849557
qbymupr,1.3320584240368,3.1684376088582
togywso,2.41753846895426,4.40233294387212
twqvpyt,0,2.97381029357649
jshbiai,2.24306935142246,4.46667610773775
kushkty,0.531247866501953,3.3996648808225
vbhsntx,1.09368584334854,4.00714225609204
rdckstm,6.26342581047021,7.30934729355402
ioxlgcn,1.08566599554051,3.08532867506067
rxiwdoo,3.36735011108729,5.10619677530054
wqgbiat,0.158597920189253,5.27609617886742
chsgmts,0,4.31202898697658
